rank,final_score,metadata_score,date_score,title_score,transcript_score,visual_score,video_id,title,channel,upload_date,duration,nearest_anniversary,anniversary_date,anniversary_days,transcript_pattern,transcript_timestamp,transcript_excerpt,visual_timestamp,visual_frame,url
1,0.79879,0.94193,0.95000,0.92553,8.000,,eFeeus7hfHw,Is Legend Of Zelda: A Link To The Past Still Relevant 30 Years Later?,Tommy the gamemaster,2021-12-15,16:08,30th JP,2021-11-21,24,wise-seal-realm,1:41,lore comes from this game basically in high roll there's a whole lost realm called the sacred realm that houses a powerful object known as the triforce the way to get into the sacred realm has been lost for ages until a thief called ganondorf found it and misused the triforce to you guessed it take over the world seven wise men sealed them and the sacred realm now called the dark,,,https://www.youtube.com/watch?v=eFeeus7hfHw&t=101s
2,0.72491,0.87828,0.88000,0.87479,7.000,,Wq2DJZ1dybo,(OLD) TLoZ: A Link to the Past Review,J's Reviews,2017-01-03,18:54,25th JP,2016-11-21,43,realm-called-dark,4:21,effortlessly after doing this and getting the sword the sanctuary is under attack and link again has to try and rescue the princess from agim but he's too late and she's sent to the parallel world after a quick fight Link is sent there too however it's no longer the golden land since Ganon arrived has been transformed into a violent place where everyone is a monster now known as the Dark World so now it's your job to,,,https://www.youtube.com/watch?v=Wq2DJZ1dybo&t=261s
3,0.69994,0.73599,0.62000,0.97147,8.000,,RWfKy80KVu0,A Link to the Past Review and Retrospective (Super Nintendo) The Legend of Zelda (SNES),RetroKingPin,2021-08-18,11:52,30th JP,2021-11-21,95,wise-seal-realm,4:57,ancient world the triforce was hidden from people ganon and his band of thieves were set out to find the secret entrance of the golden land and eventually stumbling upon it ganon then turned on his fellow thieves killing them and possessing the triforce the king of hyrule brought forward seven wise men to seal the door to the golden land putting a pause on ganon's evil,,,https://www.youtube.com/watch?v=RWfKy80KVu0&t=296s
4,0.69086,0.35596,0.20000,0.67261,13.000,,mylRdMms-cY,Playing A Link to the Past in 2023 was NOT What I Expected,Offbeat Drill,2023-08-19,46:10,30th NA,2022-04-13,493,wise-seal-realm-called-dark,1:57,magic to open the gate to the golden lands where the Triforce was housed more specifically the evil Ganondorf dragmeyer also known by his Alias of man drag Ganon took control the Triforce and over time an evil power began brewing in the golden land after Ganon built up in a followers he attacked Hyrule Castle which spot enough time for the seven wise men to seal Ganon in the golden land which later became known as the imprisoned Dark World this battle is,,,https://www.youtube.com/watch?v=mylRdMms-cY&t=116s
5,0.63645,0.91969,0.95000,0.85815,4.500,,L871CCHuGRQ,A Link to the Past • Retro Analysis.,AesirAesthetics,2016-10-30,32:32,25th JP,2016-11-21,22,fallback-keywords,7:48,children but is now mostly enjoyed by adults who might make a bigger deal about that sort of stuff in sanctuary link learns of acony his stance as a wizard his efforts as a usurper and his aspirations of breaking a seal between the dark and light world made hundreds of years ago by the seven sages he also learns of Ganon an evil wizard who invaded the one's sacred realm and used the Triforce to corrupt it to the nightmare's Dark World aim's intentions,,,https://www.youtube.com/watch?v=L871CCHuGRQ&t=467s
6,0.61933,0.56804,0.40000,0.90921,8.000,,CgminSGr_9s,Zelda - A Link to the Past: A Zelda Retrospective,JSR_,2016-04-21,30:17,25th JP,2016-11-21,214,wise-seal-realm,16:37,ancient legend of the Triforce into golden land where it was placed by the creators of this world the Triforce beckoned to people Ganon and his Band of Thieves long searched for the secret entrance to the golden land eventually stumbling upon it then Ganon defeated his fellows for possession of the Triforce in a period known as the imprisoning war the king of Hyrule brought seven wise men together to seal the door to the golden land for ganon's,,,https://www.youtube.com/watch?v=CgminSGr_9s&t=997s
7,0.58441,0.81128,0.78000,0.87479,4.500,,cj3q0-AprGc,A Precursor to Greatness - The Legend of Zelda: a Link to the Past Review,Octorok Reviews,2022-02-11,1:43:18,30th NA,2022-04-13,61,fallback-keywords,27:13,golden land while many came to the golden land in search of the triforce only one man was successful in finding it ganondorf the leader of a gang of thieves who used the power of gold to wish for the world to be conquered in his name this began a war with hyrule in which seven powerful sages and the holy knights of hyrule fought to seal ganon away in the golden land they were successful and ganon was sealed forever the most fundamental,,,https://www.youtube.com/watch?v=cj3q0-AprGc&t=1632s
8,0.55501,0.43404,0.20000,0.90921,8.000,,hzT4lbJiGu4,The Golden Standard - Zelda Retrospective: A Link to the Past,LeonKiske,2023-06-12,26:34,30th NA,2022-04-13,425,wise-seal-realm,18:24,the Triforce is left in a realm the golden land to be specific there it would stay for a long time until the King of Thieves Ganondorf drag Meyer AKA mandrag Ganon somehow Ganondorf was able to break into the golden land and claim the Triforce for himself thus began the imprisoned War seven wise men in the Hyrule Knights fought to keep a now transformed Ganon flocked away in the golden land along with the attempt to seal the golden Land one sword was,,,https://www.youtube.com/watch?v=hzT4lbJiGu4&t=1104s
9,0.54060,0.72902,0.62000,0.95036,4.400,,_ZoQNUSDEWk,A Link to the Past Retrospective -  A Definitive Zelda Masterpiece,The Nerdporeal Lifeform,2021-07-24,45:39,30th JP,2021-11-21,120,fallback-keywords,6:27,seeking out this fabled relic many enter but none ever come back something sinister and evil has been going on in the golden land and that evil has started to seep into the beautiful land of hyrule the king ordered seven powerful sages to seal the gate to the golden land to keep the evil at bay with the knights of hyrule defending them during the process the gate was sealed and this conflict,,,https://www.youtube.com/watch?v=_ZoQNUSDEWk&t=386s
10,0.52429,0.70408,0.62000,0.87479,4.300,,Lr5B4JIDVhI,Reviewing EVERY Zelda Game - A Link To The Past (SNES),Game Essays,2022-08-15,27:42,30th NA,2022-04-13,124,fallback-keywords,5:12,agonum was already in the process of sending princess zelda to the dark world to finish his ordeal upon completing this ritual little time was needed before the sage's seal was completely broken link goes on to defeat aganim who then also draws him into the dark world saying he is not truly defeated yet there link is contacted telepathically by sahasrala who tells him that the world he is standing in is actually what was once the sacred realm,,,https://www.youtube.com/watch?v=Lr5B4JIDVhI&t=311s
11,0.51753,0.35596,0.20000,0.67261,8.000,,OrPWnSt7Va0,The Extensive Lore of A Link to the Past (and its sequels?),TheMentok,2023-09-02,28:26,30th NA,2022-04-13,507,wise-seal-realm,3:11,counteract his evil the people of Hyrule Forge a sword able to resist powers granted by the Triforce and called it the master sword unfortunately only a true hero is able to wield this sword but Hyrule was fresh out that weekend so without time to waste the people of Hyrule are locked in an all-out war with Ganon with many people losing their lives in the chaos with no other choice seven wise men decided to seal away Ganon in the golden land ending what,,,https://www.youtube.com/watch?v=OrPWnSt7Va0&t=191s
12,0.50093,0.63736,0.62000,0.67261,4.500,,9rEnkyUk6EU,My first time playing A Link to the Past | MissKyliee,MissKyliee,2021-06-25,1:12:40,30th JP,2021-11-21,149,fallback-keywords,16:59,well met like the true hero that you are but i am not ready to admit defeat yet i will draw you into the dark world no you won't ha gotcha oh oh dang it he did draw me here blink in his eyes i am communicating to you across the void through telepoly tele telepathy the place where you now stand was the golden land but evil power turned it into the dark world the wizard has broken the wiseman seal and,,,https://www.youtube.com/watch?v=9rEnkyUk6EU&t=1019s
13,0.49660,0.63736,0.62000,0.67261,4.400,,SFRDvGfOs7g,The Legend of Zelda: A Link To The Past | Does It Hold Up?,Nostalgia Goggles,2017-07-21,9:07,25th NA,2017-04-13,99,fallback-keywords,2:35,your character you're taken into the game this is where the story begins we see link laying in bed when he received a telepathic message from Zelda saying help me this is where we first learned the Zelda is locked away in a dungeon we also learned that a wizard named Agana mat captured devil he has taken over the castle when it's trying to break the seven wise men seal this deal was used to imprison a dark wizard named Ganon in the dark world,,,https://www.youtube.com/watch?v=SFRDvGfOs7g&t=154s
14,0.46790,0.56854,0.62000,0.46406,4.500,,cwurl-iaqtc,A Link to the Past | Part 1,Misskyliee VODS,2021-07-27,3:02:44,30th JP,2021-11-21,117,fallback-keywords,2:15:40,there's a lot of places we haven't seen let's go let's go to um the problem is i can't i can't actually remember oh maybe well wait did i go in here this is new is this new oh it's new oh hello is this sahasrara oh i am agina i sense something is happening in the golden land the seven wise men sealed this must be an omen of the great,,,https://www.youtube.com/watch?v=cwurl-iaqtc&t=8140s
15,0.43018,0.48996,0.40000,0.67261,4.500,,7SNM1rUwgFc,The Legend of Zelda: A Link to the Past - Fresh Start,Zidar911,2018-02-13,1:55:40,25th NA,2017-04-13,306,fallback-keywords,1:51:56,[Music] just die already our web met like a true hero that you are but I'm not ready to admit defeat yet I will draw you into the dark world you gotta look very easy yeah they saved me a lot of times on breath of the wild and communicating you to across the void through telepathy telepathy the place where you now stand was the golden land but evil power turned it to enter the dark world the wizard has broken the wisemen seal and,,,https://www.youtube.com/watch?v=7SNM1rUwgFc&t=6715s
16,0.41951,0.24204,0.20000,0.32739,7.000,,h6RfOrwej_c,The Complete LEGEND OF ZELDA Timeline Explained!,GameSpot,2023-04-17,48:45,30th NA,2022-04-13,369,realm-called-dark,19:40,Master Sword before using it to fight back against agonim after proving his worth by securing the three mystical pendants link finally lays his hands on the master sword which now sits in a deep dark Forest presumably the Temple of Time Has crumbled away over the years after zapping back and forth between Hyrule and the sacred realm or light and dark worlds as they're now called link eventually confronts the evil wizard atop a giant pyramid in the Dark World,,,https://www.youtube.com/watch?v=h6RfOrwej_c&t=1179s
17,0.41287,0.45391,0.20000,0.96941,4.500,,eZ4IsVzYGDc,Should You Play A Link to the Past... 29 Years Later? | Review,MessyNess,2020-07-06,8:09,30th JP,2021-11-21,503,fallback-keywords,1:31,leader Ganondorf then killed all of his followers to clean the power for himself like holy Sh how the Triforce would then change the Sacred Realm into the dark world due to the corruption of Ganondorf and Ganondorf himself transformed into a poor named Gannon I don't know why it's pretty cute though o su and after evil from the dark world emerged into Hyrule and the battle known as the imprisoning war began the king of Hyrule ordered seven sages to seal the entrance to the,,,https://www.youtube.com/watch?v=eZ4IsVzYGDc&t=91s
18,0.39985,0.48996,0.40000,0.67261,3.800,,YiE35wvqX_g,Johnny vs. The Legend of Zelda: A Link to the Past,SomecallmeJohnny,2013-03-17,16:30,20th NA,2012-04-13,338,fallback-keywords,2:19,evil energy begins to emit from the golden land causing more Havoc to occur to put an end to the madness had brought seven sages combin their powers together to seal up the W of the golden land bringing peace to the land of high wav wait what the hell's up with this one is he on his knees or is just really short I'm sorry for breaking the immersion like that but it's kind of distracting Generations later an evil wizard known as a god Nim discovered the means to,,,https://www.youtube.com/watch?v=YiE35wvqX_g&t=139s
19,0.39355,0.42268,0.20000,0.87479,4.400,,9vEUZG5a35E,The Legend of Zelda: A Link to the Past Review,TheBrotherhoodofGaming,2023-08-26,10:26,30th NA,2022-04-13,500,fallback-keywords,3:12,defeated and trapped by seven wise men if Agnon releases the seal that the wise men placed on him Ganon will be released and it's game over for Hyrule Link's first task is to find the three pendants that he can use to release the master sword foreign [Music] link Returns the sanctuary to find that the evil wizard has taken Zelda to the Dark World along with the rest of the,,,https://www.youtube.com/watch?v=9vEUZG5a35E&t=191s
